metric,pattern,density,rest_JT_z,rest_JT_p,rest_trend,graphql_JT_z,graphql_JT_p,graphql_trend,gap_delta_10,gap_delta_50,gap_delta_100
lat_p95,aggregate,high,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,aggregate,low,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,aggregate,medium,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,baseline,high,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,baseline,low,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,baseline,medium,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,filtered,high,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,filtered,low,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,filtered,medium,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,partial,high,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,partial,low,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,partial,medium,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
throughput_rps,aggregate,high,-9.422222222222222,4.416403481306879e-21,decreasing,-9.437037037037037,3.8346948598570775e-21,decreasing,1.0,1.0,1.0
throughput_rps,aggregate,low,-9.6,7.994442411452465e-22,decreasing,-8.777777777777779,1.6673630933641747e-18,decreasing,1.0,1.0,1.0
throughput_rps,aggregate,medium,-9.962962962962964,2.2136511235722098e-23,decreasing,-9.97037037037037,2.0546122166925246e-23,decreasing,1.0,1.0,1.0
throughput_rps,baseline,high,-9.881481481481481,5.008686659628793e-23,decreasing,-9.28888888888889,1.559073144557214e-20,decreasing,1.0,1.0,1.0
throughput_rps,baseline,low,-10.0,1.523970604832094e-23,decreasing,-9.977777777777778,1.9068957586817192e-23,decreasing,1.0,1.0,1.0
throughput_rps,baseline,medium,-9.992592592592592,1.642291764842567e-23,decreasing,-9.333333333333334,1.0259256941918296e-20,decreasing,1.0,1.0,1.0
throughput_rps,filtered,high,-9.985185185185186,1.769703198893666e-23,decreasing,-8.814814814814815,1.1988305152115673e-18,decreasing,1.0,1.0,1.0
throughput_rps,filtered,low,-9.985185185185186,1.769703198893666e-23,decreasing,-9.214814814814815,3.118160709647561e-20,decreasing,1.0,1.0,1.0
throughput_rps,filtered,medium,-10.0,1.523970604832094e-23,decreasing,-9.511111111111111,1.8863678192640774e-21,decreasing,1.0,1.0,1.0
throughput_rps,partial,high,-8.281481481481482,1.2165225354535053e-16,decreasing,-8.762962962962963,1.9018416077169436e-18,decreasing,1.0,1.0,1.0
throughput_rps,partial,low,-9.88888888888889,4.65161934464523e-23,decreasing,-9.844444444444445,7.243831773823195e-23,decreasing,1.0,1.0,1.0
throughput_rps,partial,medium,-9.755555555555556,1.7464181913191357e-22,decreasing,-9.214814814814815,3.118160709647561e-20,decreasing,1.0,1.0,1.0
payload_bytes_med,aggregate,high,0.0,1.0,none,0.0,1.0,none,-1.0,-1.0,-1.0
payload_bytes_med,aggregate,low,0.0,1.0,none,0.562962962962963,0.5734601043352614,increasing,-1.0,-1.0,-1.0
payload_bytes_med,aggregate,medium,0.9222222222222223,0.3564126740030058,increasing,-0.044444444444444446,0.9645501350857605,decreasing,-1.0,-1.0,-1.0
payload_bytes_med,baseline,high,0.6555555555555556,0.5121101298389525,increasing,-1.9962962962962962,0.04590168096000582,decreasing,-0.7222222222222222,-0.6777777777777778,-0.37777777777777777
payload_bytes_med,baseline,low,0.0,1.0,none,0.337037037037037,0.7360889802973658,increasing,-0.45555555555555555,-0.5088888888888888,-0.6
payload_bytes_med,baseline,medium,-1.6333333333333333,0.10239890983421567,decreasing,0.6037037037037037,0.5460406513010401,increasing,-0.9533333333333334,-0.8822222222222222,-0.8288888888888889
payload_bytes_med,filtered,high,-1.7777777777777777,0.0754403596268005,decreasing,-0.674074074074074,0.500264221297225,decreasing,-0.45111111111111113,-0.26222222222222225,-0.44666666666666666
payload_bytes_med,filtered,low,0.011111111111111112,0.9911347984030101,increasing,1.151851851851852,0.24938195637506,increasing,-0.8888888888888888,-0.9444444444444444,-0.9066666666666666
payload_bytes_med,filtered,medium,0.6555555555555556,0.5121101298389525,increasing,1.0703703703703704,0.2844526306816396,increasing,-0.9333333333333333,-1.0,-1.0
payload_bytes_med,partial,high,0.0,1.0,none,-0.362962962962963,0.7166325515752496,decreasing,-0.7333333333333333,-0.6133333333333333,-0.6777777777777778
payload_bytes_med,partial,low,-0.1925925925925926,0.8472780465783076,decreasing,0.3037037037037037,0.7613536360622496,increasing,-1.0,-1.0,-0.88
payload_bytes_med,partial,medium,-1.1296296296296295,0.25863232051038476,decreasing,-1.1222222222222222,0.26176796635718114,decreasing,-1.0,-1.0,-1.0
xproc_p95,aggregate,high,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,aggregate,low,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,aggregate,medium,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,baseline,high,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,baseline,low,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,baseline,medium,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,filtered,high,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,filtered,low,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,filtered,medium,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,partial,high,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,partial,low,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,partial,medium,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
